sample_id,label,original_label,split,local_path,source_dataset,repository_url,dataset_card_url,source_revision,source_repo_file,source_url,original_id,source_group,group_strategy,split_method,declared_license,license_scope,license_evidence_url,is_synthetic,synthetic_basis,generator,source_file_sha256,raw_image_sha256,local_sha256,perceptual_dhash,mime,width,height,text_metadata,selection_seed,builder_version,label_audit_status
safe-07b05aeef7604b47,safe,Beauty,train,data/capstone_dataset/train/safe/safe-07b05aeef7604b47.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=36,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,36,adautogen-product::pulse-hair-serum-bottle,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,07b05aeef7604b475b826c28a1313feeefabe43ebb26896e4d4f3f7ac5050dd9,2d469e7a3c393ba7a7b8d46741907796baba0c825bab131f96d4d9063f7fdb36,000814344c0cb495,image/jpeg,512,512,"{""category"": ""Beauty"", ""product_name"": ""Pulse Hair Serum Bottle"", ""tagline"": ""Premium Hair Serum Bottle for remote workers"", ""target_audience"": ""remote workers"", ""text_source_model"": ""phi-2""}",462,1.0.0,source-derived label; no independent expert image audit
safe-086bd2772660f1b8,safe,Tech,train,data/capstone_dataset/train/safe/safe-086bd2772660f1b8.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=9,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,9,adautogen-product::nova-smart-watch,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,086bd2772660f1b886c1a0ede142813b2cc39a65b3e16e07e7035f36331c72f8,937826d238c3ac53cc7ec9bcea9d72de175574b4009005b249e37aeb8b1b47b5,1c1223636323323c,image/jpeg,512,512,"{""category"": ""Tech"", ""product_name"": ""Nova Smart Watch"", ""tagline"": ""Eco-Friendly Smart Watch for students"", ""target_audience"": ""students"", ""text_source_model"": ""phi-2""}",462,1.0.0,source-derived label; no independent expert image audit
safe-18fa439c53919884,safe,Food,train,data/capstone_dataset/train/safe/safe-18fa439c53919884.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=27,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,27,adautogen-product::aero-protein-bar,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,18fa439c53919884d3576321d707cffa0de758b7941a18ebb000019f7e8e3459,15f25860b9c24a39fe8b7ca271d39bfe4b357a614b714e248b81fec2217d5f9a,6c4c4c4e4ece8e8e,image/jpeg,512,512,"{""category"": ""Food"", ""product_name"": ""Aero Protein Bar"", ""tagline"": ""Eco-Friendly Protein Bar for young professionals"", ""target_audience"": ""young professionals"", ""text_source_model"": ""phi-2""}",462,1.0.0,source-derived label; no independent expert image audit
safe-1c9027c523e4a7fe,safe,Food,train,data/capstone_dataset/train/safe/safe-1c9027c523e4a7fe.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=61,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,61,adautogen-product::pulse-granola-snack,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,1c9027c523e4a7fef527d6f36a60d0f8b96d4a2d87a4002f74ec1f9847dfcaae,6782cc5f1c5a4e2b0b9ad04ebd3ffbf49fbf58af44512fb81cfb4bb92ea2ba96,5e2cb954f69cadab,image/jpeg,512,512,"{""category"": ""Food"", ""product_name"": ""Pulse Granola Snack"", ""tagline"": ""\""Snack smarter with Pulse - Earth-friendly granola goodness that's perfect for b"", ""target_audience"": ""busy parents"", ""text_source_model"": ""qwen-1.8b""}",462,1.0.0,source-derived label; no independent expert image audit
safe-243bf86a30a6fe62,safe,Food,train,data/capstone_dataset/train/safe/safe-243bf86a30a6fe62.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=66,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,66,adautogen-product::pulse-sparkling-water-bottle,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,243bf86a30a6fe624eef9a62889b86c80e4e0a7be35d492a6a836d836561f2d7,c00ac4ab74e3ab40f3108fa9ad45ccca10d89a7ea334c4356e5e44d509dccdb5,0f1b4b494b4a4833,image/jpeg,512,512,"{""category"": ""Food"", ""product_name"": ""Pulse Sparkling Water Bottle"", ""tagline"": ""\""Stay hydrated, stay productive with Pulse's sparkling water bottle - the ultima"", ""target_audience"": ""remote workers"", ""text_source_model"": ""qwen-1.8b""}",462,1.0.0,source-derived label; no independent expert image audit
safe-253da52f68cc386f,safe,Food,train,data/capstone_dataset/train/safe/safe-253da52f68cc386f.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=89,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,89,adautogen-product::aero-protein-bar,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,253da52f68cc386f17a0b369e352fd3a153c30e6b841a1bf2a27b764e1039e10,5439800d8f614b8201de8cab7dae99e374344d550f41481f85ad8accc489cf1d,6b9fa7bcccf43c1f,image/jpeg,512,512,"{""category"": ""Food"", ""product_name"": ""Aero Protein Bar"", ""tagline"": ""Eco-Friendly. Built for students."", ""target_audience"": ""students"", ""text_source_model"": ""tinyllama""}",462,1.0.0,source-derived label; no independent expert image audit
safe-303211596a97b69b,safe,Food,train,data/capstone_dataset/train/safe/safe-303211596a97b69b.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=0,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,0,adautogen-product::bloom-iced-coffee-can,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,303211596a97b69b0817664b67595492f8533daf6702a00d589c79dc84ba4c5f,d3a2044572a07cae9758f10fdb147900c06d7931c7ff3ef8b2b0144fbd571ec3,6c2f13933373b31a,image/jpeg,512,512,"{""category"": ""Food"", ""product_name"": ""Bloom Iced Coffee Can"", ""tagline"": ""Long-Lasting Iced Coffee Can for remote workers"", ""target_audience"": ""remote workers"", ""text_source_model"": ""phi-2""}",462,1.0.0,source-derived label; no independent expert image audit
safe-32993ba9b9223c38,safe,Food,train,data/capstone_dataset/train/safe/safe-32993ba9b9223c38.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=108,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,108,adautogen-product::aero-protein-bar,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,32993ba9b9223c388214e72975d5105f67f297dc76e7f3bf8889ebbc9c5c16f6,df393bed80487e0485607b470be9eacdb5b08f5cabe43a5f06d21474b614bda0,281450665c596300,image/jpeg,512,512,"{""category"": ""Food"", ""product_name"": ""Aero Protein Bar"", ""tagline"": ""Compact. Built for remote workers."", ""target_audience"": ""remote workers"", ""text_source_model"": ""tinyllama""}",462,1.0.0,source-derived label; no independent expert image audit
safe-3b8bb23ab98f2d77,safe,Tech,train,data/capstone_dataset/train/safe/safe-3b8bb23ab98f2d77.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=13,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,13,adautogen-product::bloom-smart-watch,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,3b8bb23ab98f2d77fec62717d7b16a7f184f475e6f2860a35fef6d090ac64afe,6e62c07ea67cf65564de81322f833cbebb544ff06893690f80de25ec6af67b12,3e9ce4a496c4b4cc,image/jpeg,512,512,"{""category"": ""Tech"", ""product_name"": ""Bloom Smart Watch"", ""tagline"": ""Premium Smart Watch for remote workers"", ""target_audience"": ""remote workers"", ""text_source_model"": ""phi-2""}",462,1.0.0,source-derived label; no independent expert image audit
safe-41d4adcf6b36a4e7,safe,Home,train,data/capstone_dataset/train/safe/safe-41d4adcf6b36a4e7.jpg,EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/tree/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,fa7a7803265fc97926d7fab694bfc1e05c1fc7b4,data/train-00000-of-00001.parquet#row=90,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/resolve/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/data/train-00000-of-00001.parquet,90,adautogen-product::bloom-plant-pot,exact product_name; repeated product campaigns stay together,deterministic_source_group_partition,MIT,repository README statement; generated images have no per-row license field,https://huggingface.co/datasets/EthanGabis/ADautoGen-DS/blob/fa7a7803265fc97926d7fab694bfc1e05c1fc7b4/README.md#license,true,Dataset README states images were generated with Stable Diffusion v1.5,Stable Diffusion v1.5 (declared by source README),94eb1dad55a1d4e734529eaa7d96c7be8db31fdc8d7c030946a6ddc84b28accd,41d4adcf6b36a4e7596d0c8a8ecab2070973bdefb4373bc2401194766dd08f0a,90edcd61c85ec71c4f6b24456e9c3c0b9b49690c88889ed6c5564af2370315a2,ffef71b13b591c13,image/jpeg,512,512,"{""category"": ""Home"", ""product_name"": ""Bloom Plant Pot"", ""tagline"": ""Eco-Friendly. Built for students."", ""target_audience"": ""students"", ""text_source_model"": ""tinyllama""}",462,1.0.0,source-derived label; no independent expert image audit
