label,split,query,local_path,file_name,source_title,source_page_url,download_url,source_sha1,download_sha256,local_sha256,license,artist,credit,mime,width,height,audit_status
safe,train,food advertisement filetype:bitmap,data/wikimedia_pilot/train/safe/safe_train_9d2e2ef3fe4a.jpg,safe_train_9d2e2ef3fe4a.jpg,File:Baking powder advertisement 1885.jpg,https://commons.wikimedia.org/wiki/File:Baking_powder_advertisement_1885.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Baking_powder_advertisement_1885.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,9d2e2ef3fe4a081db8016c43d7a2b9cfa9c827be,90decf438fd365145ba3ea4991b5a3b0c648ffec12cac1afa7e3f44dca37be0e,81c804e17c4dfff3629b54377d72c84b8e9795590756554bea80afb4178a3c6d,Public domain,"Unknown. Publisher: Buffalo, N.Y. : G.H. Dunston, Lith.",This image is available from the United States Library of Congress 's Prints and Photographs division under the digital ID ppmsca.09480 . This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing .,image/jpeg,579,768,pending_visual_review
safe,train,food advertisement filetype:bitmap,data/wikimedia_pilot/train/safe/safe_train_617511ad1a2f.jpg,safe_train_617511ad1a2f.jpg,"File:Chiclets advertisement, 1905.jpg","https://commons.wikimedia.org/wiki/File:Chiclets_advertisement,_1905.jpg",https://upload.wikimedia.org/wikipedia/commons/9/94/Chiclets_advertisement%2C_1905.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,617511ad1a2f4c7b9561cae87f3bc74abfd20ae8,3ddf4c5cefe762ae66ebfd695275daa1bdee51016ea10b45dc3fb25d2354031a,ed5b76c9885ed87fc903784ad16aed971e3d4cf86e86a07617321acd97e6bce2,Public domain,Unknown author Unknown author,"Google Books - (1905). "" Advertisements "". The World's Work . Garden City, New York: Doubleday, Page & Co..",image/jpeg,768,316,pending_visual_review
safe,train,food advertisement filetype:bitmap,data/wikimedia_pilot/train/safe/safe_train_eb77534129f9.jpg,safe_train_eb77534129f9.jpg,File:Maggi advertisement 1903.jpg,https://commons.wikimedia.org/wiki/File:Maggi_advertisement_1903.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Maggi_advertisement_1903.jpg/960px-Maggi_advertisement_1903.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,eb77534129f97fb747e2be56b070fff3f907e8c1,48e23907a55fbce3161818b2b52f3f0f0f8bb0e22b6c88b16bb7a1b6ec3f3f4f,112a9838ad1f1df64609a3c7675d05466250efb7d55def4a6b75d61ee27980e5,Public domain,Unknown author Unknown author,Trowitzsch's Volkskalender 1904.,image/jpeg,467,768,pending_visual_review
safe,train,shoe advertisement filetype:bitmap,data/wikimedia_pilot/train/safe/safe_train_c456321d7b18.jpg,safe_train_c456321d7b18.jpg,File:The Shoe for '96.jpg,https://commons.wikimedia.org/wiki/File:The_Shoe_for_%2796.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/The_Shoe_for_%2796.jpg/960px-The_Shoe_for_%2796.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,c456321d7b1814193c173347bb0b6826ba7679ed,cf5f7c2c2340331585270f091845c12aeaf5dab02f06c5290f12fefdeacdeef1,6f948ff1afcc3bc44dbb089548edd95f8d2d8499a8a9fcbd470b166557178101,Public domain,McClure's Magazine,https://archive.org/stream/mccluresmagazinemccl#page/27/mode/1up,image/jpeg,575,768,pending_visual_review
safe,val,travel advertisement filetype:bitmap,data/wikimedia_pilot/val/safe/safe_val_8b0372d1ceac.jpg,safe_val_8b0372d1ceac.jpg,File:West midlands travel bus 26l07.JPG,https://commons.wikimedia.org/wiki/File:West_midlands_travel_bus_26l07.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/West_midlands_travel_bus_26l07.JPG/960px-West_midlands_travel_bus_26l07.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,8b0372d1ceac5de7094cc6f2240c6e20af7b7358,b5edb9301deea9132afb0d5daf664c1c24d3d718347da42db4b26877c2d4fb63,45e28239a2734667da336bc446ef522ec56410dcc0d86a7678e025698c2fdd17,CC BY-SA 3.0,Snowmanradio,Own work,image/jpeg,768,576,pending_visual_review
safe,val,travel advertisement filetype:bitmap,data/wikimedia_pilot/val/safe/safe_val_b8676660a3e4.jpg,safe_val_b8676660a3e4.jpg,File:Manchuria and Korea travel advertisement in 1930s.jpg,https://commons.wikimedia.org/wiki/File:Manchuria_and_Korea_travel_advertisement_in_1930s.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Manchuria_and_Korea_travel_advertisement_in_1930s.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,b8676660a3e463a072b1d90cf2fbbb0725d54c84,884d51e1394da03724bc7ca73a5f421ce7790a6ab4886844929a37d89abdfb8d,17fe29737ec11053a6d97742c8d12780e78dc3a2e7453ed836a890bd18a64f2b,Public domain,Unknown author Unknown author,"Japanese book ""Glimpses of Nippon: A pictorial Interpretation"" published by Asahi Shimbun Company.",image/jpeg,532,768,pending_visual_review
safe,test,automobile advertisement filetype:bitmap,data/wikimedia_pilot/test/safe/safe_test_5f8657d82e0b.jpg,safe_test_5f8657d82e0b.jpg,File:Flanders automobile advertisement (from Netherlands).jpg,https://commons.wikimedia.org/wiki/File:Flanders_automobile_advertisement_(from_Netherlands).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Flanders_automobile_advertisement_%28from_Netherlands%29.jpg/960px-Flanders_automobile_advertisement_%28from_Netherlands%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,5f8657d82e0be4f9fc58e152a860e670b5144e52,266a5c6d8190d4b91a82e6fcb35f85bced621001c4f774bc8f86517da8c6e522,71604fa4bd442800740e9d8457e524641f4c891d5be49039c99ff259e220b835,Public domain,Unknown author Unknown author,"Leidsch Dagblad (a Dutch newspaper), 22 June 1912; page 10.",image/jpeg,768,356,pending_visual_review
firearms,train,pistol advertisement filetype:bitmap,data/wikimedia_pilot/train/firearms/firearms_train_01b73dfab038.jpg,firearms_train_01b73dfab038.jpg,File:Palm protector pistol.jpg,https://commons.wikimedia.org/wiki/File:Palm_protector_pistol.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Palm_protector_pistol.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,01b73dfab0384fbeaf586dc2c34e2e11b833defc,fed2d09985f289fa6708e8efd8ef6d580e0a9cac3382790e21634fb69473572a,650dd09c578ee32578e5b5618676ff1589f3427aa36e31385f9db80c7954af22,Public domain,Chicago firearms company,https://img.photobucket.com/albums/v80/harnett65/Album%206/pic1030ans.jpg from https://www.stormfront.org/forum/t714744/?postcount=3#post8189498,image/jpeg,360,207,pending_visual_review
firearms,train,pistol advertisement filetype:bitmap,data/wikimedia_pilot/train/firearms/firearms_train_83fbf1b12e72.jpg,firearms_train_83fbf1b12e72.jpg,File:Browning1900russia.JPG,https://commons.wikimedia.org/wiki/File:Browning1900russia.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Browning1900russia.JPG/960px-Browning1900russia.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,83fbf1b12e7274e565cf5951515dd0199b522a33,005b26f3e69b631a0ed942aa2678253edb385c478c29a8b89a8655c9937c2ab4,78918819a9c7cf910db6fe73d24f0319dde6185d3fb2a7056ef5091918dcef18,Public domain,Unknown author Unknown author,Zimina&Nikiforov TradeCompany price list,image/jpeg,567,768,pending_visual_review
firearms,train,rifle advertisement filetype:bitmap,data/wikimedia_pilot/train/firearms/firearms_train_a0c6005948ed.jpg,firearms_train_a0c6005948ed.jpg,File:.405WinchesterCenterFire.jpg,https://commons.wikimedia.org/wiki/File:.405WinchesterCenterFire.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/.405WinchesterCenterFire.jpg/960px-.405WinchesterCenterFire.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,a0c6005948ed1200c7e3a986bc6093505bd19085,0b4baaa5b50d48e8579859fe389c5ecbb33432cf177113c6670d0935752de009,ff83bbd0eed08e1ea8e756392bbce73c35509197132923be00b03514ae2327e0,Public domain,Townsend Whelen,"Whelen, Townsend. ""The American Rifle."" Century Co: 1918, p. 275.",image/jpeg,768,206,pending_visual_review
